MUNICIPIO_CODIGO;ANO;MES;TIPO_EQP;TOTAL_EQUIPES
110001;2013;12;1;5
110001;2013;12;6;1
110001;2014;12;1;4
110001;2014;12;6;1
110001;2015;12;1;4
110001;2015;12;6;1
110001;2016;12;1;4
110001;2016;12;6;1
110001;2017;12;1;4
110001;2017;12;6;1
110001;2018;12;1;5
110001;2018;12;6;1
110001;2019;12;1;6
110001;2019;12;6;1
110001;2020;12;70;8
110001;2020;12;72;1
110001;2021;12;70;8
110001;2021;12;72;1
110001;2022;12;70;8
110001;2022;12;72;1
110002;2013;12;1;9
110002;2013;12;6;1
110002;2014;12;1;9
110002;2014;12;6;1
110002;2015;12;1;11
110002;2015;12;6;1
110002;2016;12;1;11
110002;2016;12;6;1
110002;2017;12;1;11
110002;2017;12;6;1
110002;2018;12;1;11
110002;2018;12;6;1
110002;2019;12;1;11
110002;2019;12;6;1
110002;2020;12;70;18
110002;2020;12;72;1
110002;2021;12;70;18
110002;2022;12;70;19
110003;2013;12;1;1
110003;2013;12;7;1
110003;2013;12;36;1
110003;2014;12;1;1
110003;2014;12;7;1
110003;2014;12;36;1
110003;2015;12;1;1
110003;2015;12;7;1
110003;2015;12;36;1
110003;2016;12;1;1
110003;2016;12;7;1
110003;2016;12;36;1
110003;2017;12;1;1
110003;2017;12;7;1
110003;2017;12;36;1
110003;2018;12;1;2
110003;2018;12;7;1
110003;2019;12;1;2
110003;2019;12;7;1
110003;2020;12;70;3
110003;2020;12;72;1
110003;2021;12;70;3
110003;2021;12;72;1
110003;2022;12;70;3
110003;2022;12;72;1
110004;2013;12;1;1
110004;2013;12;6;1
110004;2014;12;1;2
110004;2014;12;6;1
110004;2015;12;1;11
110004;2015;12;6;1
110004;2016;12;1;10
110004;2016;12;6;1
110004;2017;12;1;10
110004;2017;12;6;1
110004;2018;12;1;12
110004;2018;12;6;1
110004;2019;12;1;12
110004;2019;12;6;1
110004;2020;12;70;19
110004;2020;12;72;1
110004;2021;12;70;19
110004;2021;12;72;1
110004;2022;12;70;20
110004;2022;12;72;1
110005;2013;12;1;2
110005;2014;12;1;3
110005;2015;12;1;3
110005;2016;12;1;4
110005;2017;12;1;4
110005;2018;12;1;4
110005;2019;12;1;3
110005;2020;12;70;7
110005;2021;12;70;6
110005;2022;12;70;5
110006;2013;12;1;2
110006;2014;12;1;3
110006;2015;12;1;4
110006;2016;12;1;4
110006;2017;12;1;4
110006;2018;12;1;4
110006;2019;12;1;3
110006;2020;12;70;5
110006;2021;12;70;5
110006;2022;12;70;5
110007;2013;12;1;1
110007;2014;12;1;2
110007;2015;12;1;2
110007;2016;12;1;2
110007;2017;12;1;2
110007;2018;12;1;2
110007;2019;12;1;2
110007;2020;12;70;3
110007;2021;12;70;3
110007;2022;12;70;3
110008;2016;12;1;2
110008;2017;12;1;2
110008;2018;12;1;2
110008;2019;12;1;2
110008;2020;12;70;5
110008;2021;12;70;5
110008;2022;12;70;5
110009;2013;12;1;3
110009;2014;12;1;5
110009;2015;12;1;7
110009;2016;12;1;7
110009;2017;12;1;7
110009;2018;12;1;6
110009;2019;12;1;7
110009;2020;12;70;7
110009;2021;12;70;7
110009;2022;12;70;7
110010;2013;12;1;5
110010;2014;12;1;5
110010;2015;12;1;6
110010;2016;12;1;8
110010;2017;12;1;8
110010;2018;12;1;7
110010;2019;12;1;8
